iter	Passed	Remaining
1270	29885	205246
1271	29906	205209
1272	29928	205172
1273	29950	205142
1274	29973	205114
1275	29998	205096
1276	30020	205062
1277	30042	205033
1278	30068	205023
1279	30090	204993
1280	30112	204959
1281	30135	204930
1282	30158	204902
1283	30180	204872
1284	30202	204838
1285	30225	204808
1286	30246	204772
1287	30269	204739
1288	30292	204712
1289	30314	204682
1290	30336	204650
1291	30358	204614
1292	30382	204592
1293	30405	204564
1294	30427	204531
1295	30449	204498
1296	30477	204509
1297	30500	204477
1298	30522	204446
1299	30545	204419
1300	30568	204395
1301	30592	204373
1302	30615	204343
1303	30639	204324
1304	30662	204296
1305	30684	204268
1306	30707	204241
1307	30730	204211
1308	30753	204185
1309	30775	204151
1310	30798	204125
1311	30821	204100
1312	30843	204066
1313	30869	204055
1314	30891	204027
1315	30914	203999
1316	30936	203966
1317	30957	203927
1318	30981	203901
1319	31003	203872
1320	31025	203840
1321	31047	203806
1322	31074	203801
1323	31097	203778
1324	31119	203744
1325	31141	203710
1326	31165	203691
1327	31189	203669
1328	31211	203639
1329	31234	203610
1330	31257	203586
1331	31280	203558
1332	31304	203535
1333	31326	203506
1334	31349	203477
1335	31370	203439
1336	31393	203413
1337	31415	203380
1338	31438	203353
1339	31461	203327
1340	31485	203303
1341	31506	203268
1342	31529	203237
1343	31554	203224
1344	31576	203190
1345	31597	203153
1346	31621	203133
1347	31644	203107
1348	31666	203073
1349	31689	203044
1350	31712	203018
1351	31736	203003
1352	31759	202975
1353	31781	202942
1354	31803	202911
1355	31825	202875
1356	31848	202849
1357	31871	202822
1358	31896	202810
1359	31920	202786
1360	31943	202759
1361	31964	202726
1362	31986	202693
1363	32009	202664
1364	32033	202641
1365	32054	202607
1366	32077	202580
1367	32103	202570
1368	32127	202549
1369	32151	202533
1370	32173	202498
1371	32195	202464
1372	32216	202429
1373	32239	202401
1374	32262	202374
1375	32285	202350
1376	32311	202337
1377	32338	202337
1378	32360	202308
1379	32384	202283
1380	32406	202255
1381	32428	202222
1382	32451	202193
1383	32473	202160
1384	32496	202133
1385	32519	202106
1386	32542	202081
1387	32567	202069
1388	32589	202036
1389	32615	202025
1390	32638	201999
1391	32661	201976
1392	32683	201944
1393	32706	201919
1394	32735	201929
1395	32758	201898
1396	32780	201867
1397	32801	201830
1398	32825	201812
1399	32848	201781
1400	32872	201764
1401	32894	201729
1402	32916	201700
1403	32942	201688
1404	32964	201659
1405	32987	201629
1406	33009	201597
1407	33031	201568
1408	33054	201539
1409	33077	201512
1410	33100	201486
1411	33124	201466
1412	33149	201455
1413	33174	201437
1414	33195	201402
1415	33224	201410
1416	33247	201386
1417	33270	201358
1418	33292	201327
1419	33315	201299
1420	33337	201265
1421	33361	201250
1422	33383	201213
1423	33406	201187
1424	33429	201161
1425	33453	201141
1426	33476	201114
1427	33498	201083
1428	33520	201050
1429	33543	201026
1430	33565	200993
1431	33587	200963
1432	33610	200935
1433	33634	200913
1434	33657	200886
1435	33679	200858
1436	33701	200826
1437	33724	200799
1438	33750	200790
1439	33772	200757
1440	33794	200728
1441	33818	200705
1442	33841	200681
1443	33863	200648
1444	33885	200618
1445	33912	200614
1446	33935	200585
1447	33957	200552
1448	33978	200519
1449	34001	200493
1450	34027	200485
1451	34050	200455
1452	34072	200423
1453	34095	200396
1454	34122	200394
1455	34151	200407
1456	34174	200379
1457	34196	200348
1458	34219	200319
1459	34244	200309
1460	34267	200278
1461	34291	200258
1462	34313	200230
1463	34360	200344
1464	34382	200308
1465	34404	200276
1466	34426	200245
1467	34449	200218
1468	34471	200185
1469	34497	200177
1470	34519	200146
1471	34542	200121
1472	34565	200096
1473	34587	200063
1474	34610	200038
1475	34633	200009
1476	34665	200038
1477	34688	200012
1478	34711	199982
1479	34743	200010
1480	34771	200012
1481	34795	199991
1482	34820	199977
1483	34843	199951
1484	34865	199920
1485	34887	199888
1486	34910	199859
1487	34933	199833
1488	34960	199830
1489	34983	199807
1490	35005	199775
1491	35027	199743
1492	35053	199730
1493	35075	199701
1494	35097	199668
1495	35120	199639
1496	35142	199608
1497	35164	199581
1498	35189	199562
1499	35211	199529
1500	35242	199548
1501	35269	199546
1502	35291	199515
1503	35313	199482
1504	35337	199461
1505	35359	199429
1506	35382	199404
1507	35404	199374
1508	35426	199341
1509	35450	199320
1510	35472	199291
1511	35495	199261
1512	35517	199232
1513	35540	199207
1514	35567	199199
1515	35590	199176
1516	35612	199141
1517	35635	199118
1518	35658	199088
1519	35680	199058
1520	35704	199039
1521	35729	199026
1522	35753	199002
1523	35786	199030
1524	35807	198997
1525	35829	198966
1526	35855	198952
1527	35879	198934
1528	35904	198920
1529	35927	198890
1530	35949	198860
1531	35971	198829
1532	35994	198803
1533	36016	198769
1534	36038	198737
1535	36061	198715
1536	36086	198700
1537	36110	198679
1538	36133	198650
1539	36155	198622
1540	36178	198591
1541	36199	198559
1542	36222	198530
1543	36246	198509
1544	36269	198483
1545	36294	198471
1546	36317	198444
1547	36339	198412
1548	36363	198393
1549	36385	198362
1550	36408	198335
1551	36430	198300
1552	36452	198269
1553	36475	198243
1554	36496	198210
1555	36519	198179
1556	36541	198147
1557	36566	198134
1558	36588	198105
1559	36611	198076
